"D
      
   
  *
     
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 04-04-2022 
From 29-03-2022 to 04-04.2022 
 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports  
5281* 
779605","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","52","",""
"","","2","Total Discharges","3904101","",""
"","","3","Today's Tests Conducted","5083","",""
"","","4","Total Tests Conducted","65632769","",""
"","","5","Today’s New Cases Reported(03.04.2022, 00:00 to 23:59)","38","",""
"","","6","Total Active Cases","1500","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40055","",""
"","","9","Total Positive Cases","3945698","",""
"","","10","Positivity Rate for the day (03.04.2022, 00:00 to 23:59)","0.74%","",""
"","","11","*Weekly Total Positivity Rate","0.33%","",""
"","","12","Case Fatality Rate (CFR) for the day (03.04.2022, 00:00 to 23:59)","2.63%","",""
"","","13","*Weekly Case Fatality Rate","1.30%","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"*Date: 02-04-2022 to 03-04-2022 
 
Date: 04-04-2022 
Page 1 of 7","","","","","",""
