"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1157172","20147635"
"2","Total No. of patients tested Positive","10082","770654"
"3","No. of patients discharged","7416","747691"
"4","Total Deaths reported","61","20367"
"5","Sample collected on the day","","12276"
"6","Test conducted on the day","","11954"
"7","Positive cases on the day","","419"
"8","Number of active Cases","","2596"
"9","No. of Patients on oxygen support","","65"
"10","Patients at critical care Level-3 facilities","","9"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218776"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117669"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211365"
"18","Frontline Workers vaccinated with 2nd dose on the day","","13"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016980"
"20","Above 45 Vaccinated with 1st dose on the day","","257"
"21","Total Above 45 Vaccinated with 1st dose","","8336125"
"22","Above 45 Vaccinated with 2nd dose on the day","","549"
"23","Total Above 45 Vaccinated with 2nd dose","","7568663"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1005"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12621690"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1250"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10495804"
"28","15-17 years age group Vaccinated with 1st dose on the day","","57"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1100281"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","206"
"31","Total 15-17 years age group Vaccinated with 2nddose","","817110"
"32","12-14 years age group Vaccinated with 1st dose on the day","","726"
"33","Total 12-14 years age group Vaccinated with 1st dose","","632874"
"34","12-14 years age group Vaccinated with 2nddose on the day","","243"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","414623"
"36","Precautionary dose given on the day","","3726"
"37","Total Precautionary dose given","","950785"
"38","Total Vaccination 1st dose on the day","","1265"
"39","Total Vaccination 2nd dose on the day","","1815"
"40","Total Vaccination 1st and 2nd dose on the day","","3080"
