"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","790313","2","49801","0","447","1","49342","12"
"2","ALWAR","1615885","8","84726","0","321","3","84367","38"
"3","BANSWARA","319941","0","14771","0","106","0","14661","4"
"4","BARAN","238592","0","15306","0","64","3","15238","4"
"5","BARMER","404319","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476299","0","31451","0","272","0","31179","0"
"7","BHILWARA","508128","1","38195","0","162","0","38027","6"
"8","BIKANER","746987","10","49988","0","587","1","49369","32"
"9","BUNDI","235371","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452863","3","29396","0","140","0","29251","5"
"11","CHURU","435351","6","20875","0","115","2","20742","18"
"12","DAUSA","293888","4","15838","0","81","0","15744","13"
"13","DHOLPUR","286765","0","13965","0","49","0","13913","3"
"14","DUNGARPUR","327877","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422977","0","28153","0","158","0","27992","3"
"16","HANUMANGARH","488885","0","22519","0","114","0","22404","1"
"17","JAIPUR","3441028","46","276382","0","2113","37","274037","232"
"18","JAISALMER","242605","0","17036","0","68","0","16968","0"
"19","JALORE","446007","0","10551","0","78","0","10470","3"
"20","JHALAWAR","403109","1","17750","0","207","3","17535","8"
"21","JHUNJHUNU","493103","0","19159","0","181","0","18978","0"
"22","JODHPUR","1425900","0","141160","0","1164","1","139981","15"
"23","KARAULI","240723","0","8968","0","84","0","8884","0"
