"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1637095","20627559"
"2","Total No. of patients tested Positive","23378","783906"
"3","No. of patients discharged","22644","762918"
"4","Total Deaths reported","185","20491"
"5","Sample collected on the day","","6160"
"6","Test conducted on the day","","6139"
"7","Positive cases on the day","","48"
"8","Number of active Cases","","497"
"9","No. of Patients on oxygen support","","26"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218868"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117901"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","0"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211880"
"18","Frontline Workers vaccinated with 2nd dose on the day","","4"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019017"
"20","Above 45 Vaccinated with 1st dose on the day","","15"
"21","Total Above 45 Vaccinated with 1st dose","","8345248"
"22","Above 45 Vaccinated with 2nd dose on the day","","54"
"23","Total Above 45 Vaccinated with 2nd dose","","7644606"
"24","18-44 years age group Vaccinated with 1st dose on the day","","47"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12655375"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","152"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10674822"
"28","15-17 years age group Vaccinated with 1st dose on the day","","40"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1112380"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","44"
"31","Total 15-17 years age group Vaccinated with 2nddose","","854720"
"32","12-14 years age group Vaccinated with 1st dose on the day","","38"
"33","Total 12-14 years age group Vaccinated with 1st dose","","669163"
"34","12-14 years age group Vaccinated with 2nddose on the day","","87"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","467559"
"36","Precautionary dose given on the day","","738"
"37","Total Precautionary dose given","","1660982"
"38","Total Vaccination 1st dose on the day","","63"
"39","Total Vaccination 2nd dose on the day","","210"
"40","Total Vaccination 1st and 2nd dose on the day","","273"
