"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1826748","20817212"
"2","Total No. of patients tested Positive","24279","784807"
"3","No. of patients discharged","23854","764128"
"4","Total Deaths reported","203","20508"
"5","Sample collected on the day","","5625"
"6","Test conducted on the day","","5593"
"7","Positive cases on the day","","26"
"8","Number of active Cases","","171"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117944"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211968"
"18","Frontline Workers vaccinated with 2nd dose on the day","","7"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019283"
"20","Above 45 Vaccinated with 1st dose on the day","","40"
"21","Total Above 45 Vaccinated with 1st dose","","8346721"
"22","Above 45 Vaccinated with 2nd dose on the day","","136"
"23","Total Above 45 Vaccinated with 2nd dose","","7651891"
"24","18-44 years age group Vaccinated with 1st dose on the day","","165"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12661653"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","494"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10697285"
"28","15-17 years age group Vaccinated with 1st dose on the day","","37"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114625"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","228"
"31","Total 15-17 years age group Vaccinated with 2nddose","","862414"
"32","12-14 years age group Vaccinated with 1st dose on the day","","341"
"33","Total 12-14 years age group Vaccinated with 1st dose","","678112"
"34","12-14 years age group Vaccinated with 2nddose on the day","","642"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","485623"
"36","Precautionary dose given on the day","","2942"
"37","Total Precautionary dose given","","1779825"
"38","Total Vaccination 1st dose on the day","","207"
"39","Total Vaccination 2nd dose on the day","","640"
"40","Total Vaccination 1st and 2nd dose on the day","","847"
