"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22969","","5280","","28249",""
"2","Total Active Cases","03 
(0.01%)","","00 
(0%)","","03 
(0.01%)",""
"3","Total Cured/Discharged","22798 
(99.3%)","","5220 
(98.9%)","","28018 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","0","","00",""
"6","Total Positive cases in Home Isolation","02","","00","","02",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","47","","06","","53",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","46","","06","","52",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","22 
00 
13 
04 
39"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(07/05/2022)","","Test Done Today 
(08/05/2022)","","Cumulative"
"","","a)RTPCR","320470","","27","","320497"
"","","b)TRUENAT","13773","","21","","13794"
"","","c)RAT","348345","","05","","348350"
"","","d)  CBNAAT","1098","","00","","1098"
"","","TOTAL","683686","","53","","683739"
