"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","791913","8","49850","0","447","3","49357","46"
"2","ALWAR","1619853","3","84793","0","321","7","84416","56"
"3","BANSWARA","320883","0","14771","0","106","0","14665","0"
"4","BARAN","239997","0","15309","0","64","0","15242","3"
"5","BARMER","404705","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476315","0","31451","0","272","0","31179","0"
"7","BHILWARA","508707","0","38202","0","162","0","38033","7"
"8","BIKANER","751070","19","50081","0","587","9","49427","67"
"9","BUNDI","236123","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","453362","0","29408","0","140","0","29256","12"
"11","CHURU","436292","3","20902","0","115","6","20766","21"
"12","DAUSA","295114","0","15859","0","81","2","15759","19"
"13","DHOLPUR","287792","0","13966","0","49","0","13916","1"
"14","DUNGARPUR","327943","0","25499","0","134","0","25364","1"
"15","GANGANAGAR","423141","0","28159","0","158","0","27995","6"
"16","HANUMANGARH","489061","0","22522","0","114","0","22405","3"
"17","JAIPUR","3454068","33","276732","0","2113","41","274310","309"
"18","JAISALMER","242691","0","17036","0","68","0","16968","0"
"19","JALORE","446458","5","10557","0","78","0","10473","6"
"20","JHALAWAR","407212","0","17757","0","207","2","17545","5"
"21","JHUNJHUNU","493427","0","19160","0","181","0","18978","1"
"22","JODHPUR","1428286","8","141210","0","1164","1","140005","41"
"23","KARAULI","241432","0","8968","0","84","0","8884","0"
"24","KOTA","1129219","0","70126","0","477","1","69647","2"
"25","NAGAUR","648975","0","23707","0","200","3","23488","19"
"26","PALI","462336","0","35853","0","298","0","35555","0"
"27","PRATAPGARH","277792","0","11876","0","65","0","11810","1"
"28","RAJSAMAND","301860","0","23036","0","178","1","22857","1"
"29","SAWAI MADHOPUR","278256","0","15821","0","66","0","15753","2"
