"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,679+3","15,540+3","102","37","22-Nov-21"
"2","Coochbehar","29,558+12","29,331+12","97","130","22-Nov-21"
"3","Darjeeling","57,771+26","56,939+26","547","285","22-Nov-21"
"4","Kalimpong","7,111+1","7,030+3","54","27-2","22-Nov-21"
"5","Jalpaiguri","42,288+10","41,562+14","586+2","140-6","22-Nov-21"
"6","Uttar Dinajpur","20,032+6","19,729+6","240","63","22-Nov-21"
"7","Dakshin Dinajpur","18,391+12","18,015+20","173+1","203-9","22-Nov-21"
"8","Malda","33,634+11","33,353+9","187","94+2","22-Nov-21"
"9","Murshidabad","34,110+5","33,726+5","330","54","22-Nov-21"
"10","Nadia","74,091+13","72,908+30","878","305-17","22-Nov-21"
"11","Birbhum","41,524+10","41,083+15","289","152-5","22-Nov-21"
"12","Purulia","19,461+1","19,329+2","114","18-1","22-Nov-21"
"13","Bankura","36,744+22","36,289+16","276","179+6","22-Nov-21"
"14","Jhargram","12,260+6","12,183+5","27","50+1","22-Nov-21"
"15","Paschim Medinipur","53,987+12","53,311+16","508","168-4","22-Nov-21"
"16","Purba Medinipur","63,318+13","62,819+9","400","99+4","22-Nov-21"
"17","Purba Bardhaman","42,461+15","42,070+18","202","189-3","22-Nov-21"
"18","Paschim Bardhaman","58,258+19","57,689+20","359","210-1","22-Nov-21"
"19","Howrah","1,00,190+50","98,040+58","1,533","617-8","22-Nov-21"
"20","Hooghly","87,759+57","86,112+60","1,009+1","638-4","22-Nov-21"
"21","North 24 Parganas","3,32,478+134","3,26,174+130","4,903+1","1,401+3","22-Nov-21"
"22","South 24 Parganas","1,02,492+71","1,00,452+62","1,368+1","672+8","22-Nov-21"
"23","Kolkata","3,27,517+211","3,20,112+202","5,222+4","2,183+5","22-Nov-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","16,11,180+720","15,83,859+741","19,407+10","7,914-31",""
