"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,982"
"2","Number of persons tested positive today in Tamil Nadu","708"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal-2"
"","Total","710"
"3","Total Number of persons tested positive till date","27,31,945"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,393/ 
5,49,85,621@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,149/ 
5,40,51,480"
"6","No. of Male / Female / Transgender tested positive today","411/299/0"
"7","No. of Male / Female / Transgender tested positive till date","15,94,612/11,37,295/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","731/ 
26,87,414"
"10","Total number of deaths today/ till date","10(4 Private &  
6 Govt) /36,549)"
