"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","475693","19464555"
"2","Total No. of patients tested Positive","1067","760143"
"3","No. of patients discharged","1006","742256"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","11440"
"6","Test conducted on the day","","11296"
"7","Positive cases on the day","","20"
"8","Number of active Cases","","136"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218596"
"14","Frontline Workers vaccinated with 1st dose on the day","","9"
"15","Total Frontline Workers vaccinated with 1st dose","","1117180"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","15"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209879"
"18","Frontline Workers vaccinated with 2nd dose on the day","","124"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011493"
"20","Above 45 Vaccinated with 1st dose on the day","","2364"
"21","Total Above 45 Vaccinated with 1st dose","","8305039"
"22","Above 45 Vaccinated with 2nd dose on the day","","12996"
"23","Total Above 45 Vaccinated with 2nd dose","","7166888"
"24","18-44 years age group Vaccinated with 1st dose on the day","","5814"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12526172"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","25210"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9675088"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1876"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1062360"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3763"
"31","Total 15-17 years age group Vaccinated with 2nddose","","675165"
"32","12-14 years age group Vaccinated with 1st dose on the day","","4978"
"33","Total 12-14 years age group Vaccinated with 1st dose","","541332"
"34","12-14 years age group Vaccinated with 2nddose on the day","","5415"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","219092"
"36","Precautionary dose given on the day","","3962"
"37","Total Precautionary dose given","","603204"
"38","Total Vaccination 1st dose on the day","","8187"
"39","Total Vaccination 2nd dose on the day","","38345"
"40","Total Vaccination 1st and 2nd dose on the day","","46532"
