"Total No. of Sample Taken Today","9281"
"Total No. of Positive Cases Detected Today","161"
"Total Active COVID-19 Patients","1073"
"Total No. of Active Cases under Home Isolation (23-05-2022)","1051"
"Total No. of Samples found Positive till date","1001032"
"Total Positive COVID-19 Patients Recovered / Discharged till date","989315"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","18753 
(1st Dose: 2734 
2nd Dose: 8733 
Precaution Dose: 7286"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23501964 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19164721 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","620116"
"Cumulative Coverage of Total COVID-19 Vaccination","43286801"
"COVID-19 Today (23-05-2022) Positivity Rate","1.96%"
"Recovery Rate","98.83%"
"Fatality Rate","1.06%"
