"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","35,951"
"2","Number of persons tested positive today in Tamil Nadu","1,632"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 2"
"","Total","1,634"
"3","Total Number of persons tested positive till date","34,37,896"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","95,750/ 
6,33,91,539@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","93,295/ 
6,22,31,863"
"6","No. of Male / Female / Transgender tested positive today","960/674/0"
"7","No. of Male / Female / Transgender tested positive till date","20,06,528/14,31,330/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","7,365/ 
33,64,013"
"10","Total number of deaths today/ till date","17(6 Private &  
11 Govt) /37,932"
