"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","664980","19653849"
"2","Total No. of patients tested Positive","1444","760518"
"3","No. of patients discharged","1376","742626"
"4","Total Deaths reported","8","17754"
"5","Sample collected on the day","","10192"
"6","Test conducted on the day","","10013"
"7","Positive cases on the day","","23"
"8","Number of active Cases","","138"
"9","No. of Patients on oxygen support","","5"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218639"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117352"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","20"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210236"
"18","Frontline Workers vaccinated with 2nd dose on the day","","53"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012835"
"20","Above 45 Vaccinated with 1st dose on the day","","554"
"21","Total Above 45 Vaccinated with 1st dose","","8317271"
"22","Above 45 Vaccinated with 2nd dose on the day","","6600"
"23","Total Above 45 Vaccinated with 2nd dose","","7317380"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1641"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12567274"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","13041"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9972363"
"28","15-17 years age group Vaccinated with 1st dose on the day","","367"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1078877"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1387"
"31","Total 15-17 years age group Vaccinated with 2nddose","","725251"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1117"
"33","Total 12-14 years age group Vaccinated with 1st dose","","583090"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2086"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","294526"
"36","Precautionary dose given on the day","","2865"
"37","Total Precautionary dose given","","664315"
"38","Total Vaccination 1st dose on the day","","2203"
"39","Total Vaccination 2nd dose on the day","","19714"
"40","Total Vaccination 1st and 2nd dose on the day","","21917"
