"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","192","109969","177","107666","3","2282","21"
"2","SAS Nagar","402","96091","358","94891","1","1149","51"
"3","Jalandhar","133","78403","118","76818","0","1578","7"
"4","Patiala","223","62254","214","60786","0","1457","11"
"5","Amritsar","85","59482","87","57795","0","1682","5"
"6","Bathinda","58","50926","52","49830","0","1088","8"
"7","Hoshiarpur","62","40902","67","39799","0","1096","7"
"8","Gurdaspur","20","26959","21","26094","1","865","0"
"9","Pathankot","48","24580","50","24083","0","495","2"
"10","Fazilka","28","23426","41","22880","0","545","1"
"11","Muktsar","13","22567","12","22022","0","539","6"
"12","Kapurthala","39","22074","34","21486","1","583","5"
"13","Ropar","32","17970","30","17513","0","455","2"
"14","Ferozepur","19","17918","19","17379","0","537","2"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","32","16815","32","16473","0","338","4"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","21","13423","25","13013","0","409","1"
"19","FG Sahib","12","11846","10","11490","0","354","2"
"20","Moga","7","10995","8","10739","1","255","1"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1444","760518","1376","742626","8","17754","138"
