"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22987","","5281","","28268",""
"2","Total Active Cases","07 
(0.03%)","","00 
(0%)","","07 
(0.02%)",""
"3","Total Cured/Discharged","22812 
(99.2%)","","5221 
(98.9%)","","28033 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","03","","00","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","201","","50","","251",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","198","","50","","248",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","73 
34 
17 
13 
137"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(30/05/2022)","","Test Done Today 
(31/05/2022)","","Cumulative"
"","","a)RTPCR","322567","","187","","322754"
"","","b)TRUENAT","14026","","19","","14045"
"","","c)RAT","349285","","45","","349330"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","686983","","251","","687234"
