"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","795448","2","49990","0","447","16","49477","66"
"2","ALWAR","1626346","7","84893","0","321","22","84548","24"
"3","BANSWARA","322002","0","14781","0","106","1","14669","6"
"4","BARAN","241460","0","15312","0","64","0","15247","1"
"5","BARMER","405711","3","21467","0","205","0","21252","10"
"6","BHARATPUR","476360","0","31452","0","272","1","31180","0"
"7","BHILWARA","509807","5","38263","0","162","0","38073","28"
"8","BIKANER","757153","10","50314","0","589","20","49614","111"
"9","BUNDI","236651","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454396","0","29433","0","140","0","29280","13"
"11","CHURU","437252","4","20942","0","115","0","20804","23"
"12","DAUSA","296781","0","15882","0","82","0","15794","6"
"13","DHOLPUR","289013","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328054","0","25502","0","134","0","25365","3"
"15","GANGANAGAR","423407","1","28180","0","158","1","28013","9"
"16","HANUMANGARH","489345","0","22530","0","115","1","22411","4"
"17","JAIPUR","3473175","34","277413","0","2114","41","274954","345"
"18","JAISALMER","242933","0","17036","0","68","0","16968","0"
"19","JALORE","448109","1","10570","0","78","0","10482","10"
"20","JHALAWAR","412585","2","17765","0","207","0","17556","2"
"21","JHUNJHUNU","493924","0","19161","0","181","0","18980","0"
"22","JODHPUR","1433313","27","141454","0","1164","13","140177","113"
"23","KARAULI","242661","0","8969","0","85","0","8884","0"
