,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
0,Andaman and Nicobar Islands,7648,7514,129,590432.0,1335.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,0,1,0,720708246,308900106,2634222,3895763,293331,191774,214,2279,2021-10-25,TT
1,Andhra Pradesh,2063872,2044692,14350,29291896.0,27641.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,295,560,7,720708246,308900106,2634222,3895763,31961286,18822963,207718,335213,2021-10-25,TT
2,Arunachal Pradesh,55105,54687,280,1181626.0,978.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,16,10,0,720708246,308900106,2634222,3895763,769196,515683,633,4844,2021-10-25,TT
3,Assam,608915,599055,5978,24493198.0,50253.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,326,296,5,720708246,308900106,2634222,3895763,19935903,7368131,38468,149485,2021-10-25,TT
4,Bihar,726060,716363,9661,49266875.0,113590.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,2,4,0,720708246,308900106,2634222,3895763,48671521,16334225,83996,132742,2021-10-25,TT
5,Chandigarh,65325,64476,820,783583.0,1458.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,2,1,0,720708246,308900106,2634222,3895763,923020,528975,665,3635,2021-10-25,TT
6,Chhattisgarh,1005872,992066,13572,13584411.0,22352.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,25,10,0,720708246,308900106,2634222,3895763,14548425,6863384,76161,124422,2021-10-25,TT
7,Delhi,1439630,1414232,25091,29079334.0,46667.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,27,40,0,720708246,308900106,2634222,3895763,12923060,7205464,27747,49206,2021-10-25,TT
8,Dadra and Nagar Haveli and Daman and Diu,10681,10642,4,72410.0,0.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,0,0,0,720708246,308900106,2634222,3895763,658665,359418,714,3407,2021-10-25,TT
9,Goa,177915,174042,3358,1452375.0,3002.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,29,59,0,720708246,308900106,2634222,3895763,1255244,871396,1094,6776,2021-10-25,TT
10,Gujarat,826434,816187,10088,30638496.0,38922.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,16,20,1,720708246,308900106,2634222,3895763,44456503,24542557,56502,230621,2021-10-25,TT
11,Himachal Pradesh,222890,217495,3721,3629753.0,9094.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,321,239,3,720708246,308900106,2634222,3895763,5702335,3244581,1885,34774,2021-10-25,TT
12,Haryana,771174,760999,10049,12897183.0,12789.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,17,18,0,720708246,308900106,2634222,3895763,17642386,7817802,30860,70530,2021-10-25,TT
13,Jharkhand,348659,343329,5135,15521299.0,0.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,32,61,0,720708246,308900106,2634222,3895763,14726230,5219270,39745,62578,2021-10-25,TT
14,Jammu and Kashmir,331698,326433,4430,15975291.0,27553.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,60,90,1,720708246,308900106,2634222,3895763,9483282,4793504,5788,59210,2021-10-25,TT
15,Karnataka,2986276,2939647,38017,50238852.0,89964.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,290,408,10,720708246,308900106,2634222,3895763,41947599,21690454,73591,206178,2021-10-25,TT
16,Kerala,4921995,4817785,28873,37440976.0,61202.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,6664,9010,281,720708246,308900106,2634222,3895763,25215748,13007867,19057,142062,2021-10-25,TT
17,Ladakh,20908,20663,208,553288.0,195.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,4,4,0,720708246,308900106,2634222,3895763,208410,151102,137,355,2021-10-25,TT
18,Lakshadweep,10365,10270,51,262253.0,337.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,0,0,0,720708246,308900106,2634222,3895763,55068,45317,8,162,2021-10-25,TT
19,Maharashtra,6603850,6437025,140028,61978155.0,84460.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,889,1586,12,720708246,308900106,2634222,3895763,65867137,29933755,281563,241508,2021-10-25,TT
20,Meghalaya,83384,81351,1446,1138734.0,1013.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,13,65,0,720708246,308900106,2634222,3895763,1096560,607355,1156,7474,2021-10-25,TT
21,Manipur,123333,120534,1913,1356166.0,1280.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,41,84,2,720708246,308900106,2634222,3895763,1243281,662375,1525,14239,2021-10-25,TT
