District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Anjaw,1068,3,1065,20867,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Changlang,3804,89,3777,79369,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Dibang Valley,337,22,335,7126,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
East Kameng,1094,17,1094,52740,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
East Siang,3202,2,3173,60435,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Kamle,512,0,512,6567,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Kra Daadi,270,0,270,6056,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Kurung Kumey,511,0,510,9143,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Leparada,874,0,870,16507,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Lohit,2876,1,2848,48279,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Longding,751,3,749,19744,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Lower Dibang Valley,2420,26,2394,46501,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Lower Siang,738,2,730,21481,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Lower Subansiri,3033,11,3013,48366,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Namsai,2123,8,2088,70356,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Pakke Kessang,453,15,453,10528,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Papum Pare,18309,12,18204,378480,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Shi Yomi,261,17,252,9461,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Siang,411,0,408,8135,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Tawang,2568,0,2527,41710,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Tirap,1109,0,1100,27003,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Upper Siang,1016,3,1013,14234,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
Upper Subansiri,1958,20,1952,37829,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
West Kameng,3544,5,3497,100332,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
West Siang,1863,1,1853,28337,2021-10-25,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,2021-10-25 20:00:00+05:30,Arunachal Pradesh,https://twitter.com/DirHealth_ArPr,https://twitter.com/DirHealth_ArPr,55105,6,54687,1169586
