District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,Date,tested_last_updated_district,last_updated,tested_last_updated_state,State,tested_source_district,tested_source_state,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
Araria,14976,116,14859,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Arwal,7381,74,7307,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Aurangabad,20011,75,19936,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Banka,7379,112,7267,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Begusarai,27210,457,26748,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Bhagalpur,25839,309,25530,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Bhojpur,10210,159,10051,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Buxar,9248,182,9066,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Darbhanga,10937,370,10567,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Gaya,33952,280,33671,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Gopalganj,16685,94,16590,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Jamui,9418,106,9311,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Jehanabad,10783,109,10674,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Kaimur(Bhabua),4984,147,4837,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Katihar,18145,94,18050,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Khagaria,10064,88,9976,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Kishanganj,10124,66,10055,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Lakhisarai,7776,102,7674,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Madhepura,12547,111,12435,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Madhubani,18362,339,18023,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Munger,15111,158,14952,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Muzaffarpur,31398,621,30776,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Nalanda,23432,468,22964,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Nawada,10352,178,10174,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Pashchim Champaran,20890,358,20532,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Patna,146994,2334,144644,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Purbi Champaran,19015,430,18585,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Purnia,24427,180,24247,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Rohtas,13978,271,13707,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Saharasa,17616,134,17482,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Samastipur,20018,155,19863,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Saran,23273,255,23018,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
Sheikhpura,7693,75,7618,0,2021-10-25,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,2021-10-25 23:32:00+05:30,Bihar,https://twitter.com/BiharHealthDept,https://twitter.com/BiharHealthDept,726060,9661,716363,49266875
