"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","585752","19574621"
"2","Total No. of patients tested Positive","1266","760343"
"3","No. of patients discharged","1202","742452"
"4","Total Deaths reported","6","17752"
"5","Sample collected on the day","","3509"
"6","Test conducted on the day","","6659"
"7","Positive cases on the day","","18"
"8","Number of active Cases","","139"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218621"
"14","Frontline Workers vaccinated with 1st dose on the day","","8"
"15","Total Frontline Workers vaccinated with 1st dose","","1117276"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","21"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210085"
"18","Frontline Workers vaccinated with 2nd dose on the day","","56"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012317"
"20","Above 45 Vaccinated with 1st dose on the day","","454"
"21","Total Above 45 Vaccinated with 1st dose","","8313868"
"22","Above 45 Vaccinated with 2nd dose on the day","","6727"
"23","Total Above 45 Vaccinated with 2nd dose","","7263629"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1802"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12556133"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","14119"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9862852"
"28","15-17 years age group Vaccinated with 1st dose on the day","","967"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1074601"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3309"
"31","Total 15-17 years age group Vaccinated with 2nddose","","708471"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2595"
"33","Total 12-14 years age group Vaccinated with 1st dose","","573242"
"34","12-14 years age group Vaccinated with 2nddose on the day","","5849"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","270283"
"36","Precautionary dose given on the day","","3223"
"37","Total Precautionary dose given","","639691"
"38","Total Vaccination 1st dose on the day","","2266"
"39","Total Vaccination 2nd dose on the day","","20923"
"40","Total Vaccination 1st and 2nd dose on the day","","23189"
