"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","827834","19816706"
"2","Total No. of patients tested Positive","2974","762041"
"3","No. of patients discharged","2196","743446"
"4","Total Deaths reported","18","17764"
"5","Sample collected on the day","","12049"
"6","Test conducted on the day","","12020"
"7","Positive cases on the day","","158"
"8","Number of active Cases","","831"
"9","No. of Patients on oxygen support","","14"
"10","Patients at critical care Level-3 facilities","","4"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218671"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117480"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","27"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210622"
"18","Frontline Workers vaccinated with 2nd dose on the day","","91"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013994"
"20","Above 45 Vaccinated with 1st dose on the day","","677"
"21","Total Above 45 Vaccinated with 1st dose","","8325461"
"22","Above 45 Vaccinated with 2nd dose on the day","","7651"
"23","Total Above 45 Vaccinated with 2nd dose","","7428318"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1538"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12588561"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","14992"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10192619"
"28","15-17 years age group Vaccinated with 1st dose on the day","","534"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1085008"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2491"
"31","Total 15-17 years age group Vaccinated with 2nddose","","754182"
"32","12-14 years age group Vaccinated with 1st dose on the day","","771"
"33","Total 12-14 years age group Vaccinated with 1st dose","","594138"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2274"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","328798"
"36","Precautionary dose given on the day","","4285"
"37","Total Precautionary dose given","","727180"
"38","Total Vaccination 1st dose on the day","","2224"
"39","Total Vaccination 2nd dose on the day","","22761"
"40","Total Vaccination 1st and 2nd dose on the day","","24985"
