"S. No","Subject","Number"
"1","Total Number of people vaccinated on 28th Feb","9,671"
"2","First Dose on 28th Feb","447"
"3","Second Dose on 28th Feb","8,432"
"4","Precaution Dose on 28th Feb","792"
"5","Cumulative Vaccination till 28th Feb","12,92,20,588"
"6","Cumulative Vaccination First Dose","6,96,82,513"
"7","Cumulative Vaccination Second Dose","5,79,25,125"
"8","Cumulative Precaution Dose","16,12,950"
"9","Number of CVC (Common Vaccination Centres)","809"
"10","Cumulative AEFI cases reported","6,954"
"11","Vaccine wastage","-7%"
