"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,159"
"2","Number of persons tested positive today in Tamil Nadu","214"
"","Passengers returned from other countries  by 
International airport tested positive today","Canada-1 
Lebanon-1 
Sweden-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Assam-1"
"","Passengers returned from other states  by Road tested 
positive today","Karnataka-1"
"","Total","219"
"3","Total Number of persons tested positive till date","34,56,916"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","13,226/ 
6,67,58,038@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","13,180/ 
6,55,80,454"
"6","No. of Male / Female / Transgender tested positive today","121/98/0"
"7","No. of Male / Female / Transgender tested positive till date","20,17,394/14,39,484/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","137/ 
34,17,732"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
