"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","665287","43","37990","0","410","3","37462","118"
"2","ALWAR","1328166","39","59853","0","307","0","59439","107"
"3","BANSWARA","257779","0","10008","0","104","0","9901","3"
"4","BARAN","180751","0","12000","0","61","0","11939","0"
"5","BARMER","345388","2","15589","0","186","0","15400","3"
"6","BHARATPUR","400590","20","19640","0","260","0","19346","34"
"7","BHILWARA","423443","21","29850","0","156","2","29639","55"
"8","BIKANER","622245","12","40470","0","546","4","39867","57"
"9","BUNDI","189798","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","382197","7","19820","0","139","0","19670","11"
"11","CHURU","346411","0","16724","0","108","0","16615","1"
"12","DAUSA","227770","1","13361","0","62","0","13294","5"
"13","DHOLPUR","236734","1","11017","0","48","0","10962","7"
"14","DUNGARPUR","264775","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","355139","7","19398","0","151","1","19212","35"
"16","HANUMANGARH","416464","0","16083","0","111","0","15965","7"
"17","JAIPUR","2682593","745","190381","1","1972","18","186274","2135"
"18","JAISALMER","214929","0","13651","0","66","0","13585","0"
"19","JALORE","394303","0","10068","0","72","0","9996","0"
"20","JHALAWAR","314332","0","13614","0","187","0","13427","0"
"21","JHUNJHUNU","410728","0","14835","0","160","0","14668","7"
"22","JODHPUR","1203128","185","112816","0","1103","0","111349","364"
"23","KARAULI","190671","0","7156","0","70","0","7086","0"
