"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1737229","20727693"
"2","Total No. of patients tested Positive","23937","784465"
"3","No. of patients discharged","23446","763720"
"4","Total Deaths reported","196","20501"
"5","Sample collected on the day","","6596"
"6","Test conducted on the day","","6549"
"7","Positive cases on the day","","19"
"8","Number of active Cases","","244"
"9","No. of Patients on oxygen support","","6"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218879"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117929"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","0"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211925"
"18","Frontline Workers vaccinated with 2nd dose on the day","","2"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019167"
"20","Above 45 Vaccinated with 1st dose on the day","","14"
"21","Total Above 45 Vaccinated with 1st dose","","8346174"
"22","Above 45 Vaccinated with 2nd dose on the day","","24"
"23","Total Above 45 Vaccinated with 2nd dose","","7649259"
"24","18-44 years age group Vaccinated with 1st dose on the day","","30"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12659278"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","68"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10688187"
"28","15-17 years age group Vaccinated with 1st dose on the day","","4"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113993"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","11"
"31","Total 15-17 years age group Vaccinated with 2nddose","","859392"
"32","12-14 years age group Vaccinated with 1st dose on the day","","13"
"33","Total 12-14 years age group Vaccinated with 1st dose","","674683"
"34","12-14 years age group Vaccinated with 2nddose on the day","","32"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","476974"
"36","Precautionary dose given on the day","","455"
"37","Total Precautionary dose given","","1735596"
"38","Total Vaccination 1st dose on the day","","44"
"39","Total Vaccination 2nd dose on the day","","94"
"40","Total Vaccination 1st and 2nd dose on the day","","138"
