"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","763580","6","49647","0","444","0","49050","153"
"2","ALWAR","1526686","0","84345","0","320","6","83967","58"
"3","BANSWARA","298819","8","14661","0","106","0","14382","173"
"4","BARAN","218927","1","15222","0","64","8","15098","60"
"5","BARMER","395416","4","21441","0","205","6","21191","45"
"6","BHARATPUR","465364","4","31382","0","272","14","31069","41"
"7","BHILWARA","490432","8","38147","0","161","21","37949","37"
"8","BIKANER","709176","3","49796","0","584","20","49110","102"
"9","BUNDI","222108","0","9715","0","55","2","9657","3"
"10","CHITTORGARH","443584","5","29347","0","140","0","29180","27"
"11","CHURU","412027","10","20732","0","114","17","20535","83"
"12","DAUSA","274424","2","15759","0","78","3","15665","16"
"13","DHOLPUR","270463","4","13735","0","49","0","13668","18"
"14","DUNGARPUR","324501","4","25493","0","134","8","25345","14"
"15","GANGANAGAR","411313","4","28069","0","158","7","27824","87"
"16","HANUMANGARH","474597","11","22416","0","114","0","22227","75"
"17","JAIPUR","3212563","125","273179","0","2108","51","269467","1604"
"18","JAISALMER","239172","0","17025","0","68","6","16921","36"
"19","JALORE","435060","2","10526","0","78","0","10428","20"
"20","JHALAWAR","361323","5","17675","0","207","4","17423","45"
"21","JHUNJHUNU","473367","14","19127","0","179","7","18808","140"
"22","JODHPUR","1365921","31","140761","0","1163","14","139422","176"
"23","KARAULI","228878","0","8954","0","84","16","8820","50"
