"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,536"
"2","Number of persons tested positive today in Tamil Nadu","741"
"3","Total Number of persons tested positive till date","27,21,762"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,817/ 
5,35,60,440@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,548/ 
5,26,29,830"
"6","No. of Male / Female / Transgender tested positive today","421/320/0"
"7","No. of Male / Female / Transgender tested positive till date","15,88,569/11,33,155/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","310 (69 Govt+ 
241 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","808/ 
26,76,825"
"10","Total number of deaths today/ till date","13(7 Private &  
6 Govt) /36,401)"
