"Total No. of Sample Taken Today","8280"
"Total No. of Positive Cases Detected Today","977"
"Total Active COVID-19 Patients","4894"
"Total No. of Active Cases under Home Isolation (12-08-2022)","4690"
"Total No. of Samples found Positive till date","1040914"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1025343"
"No. of Deaths","10654"
"Total No. of People Vaccinated Today","13679 
(1st Dose: 506 
2nd Dose: 2960 
Precaution Dose: 10213)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23632937 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19704466 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1588409"
"Cumulative Coverage of Total COVID-19 Vaccination","44925812"
"COVID-19 Today (12-08-2022) Positivity Rate","7.64%"
"Recovery Rate","98.50%"
"Fatality Rate","1.02%"
