"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23145","","5284","","28429",""
"2","Total Active Cases","82 
(0.35%)","","00 
(0%)","","82 
(0.29%)",""
"3","Total Cured/Discharged","22895 
(98.9%)","","5224 
(98.9%)","","28119 
(98.9%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.80%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","64","","00","","64",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","04","","00","","04",""
"9","No. of Samples Tested (Today)","141","","07","","148",""
"10","No. of Samples Positive (Today)","11","","00","","11",""
"11","No. of Samples Negative (Today)","129","","07","","136",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","61 
10 
24 
01 
96"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(30/06/2022)","","Test Done Today 
(01/07/2022)","","Cumulative"
"","","a)RTPCR","327447","","99","","327546"
"","","b)TRUENAT","14365","","10","","14375"
"","","c)RAT","350666","","39","","350705"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","693583","","148","","693731"
