"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","781704","0","49717","0","446","0","49268","3"
"2","ALWAR","1588555","0","84453","0","320","0","84133","0"
"3","BANSWARA","313192","0","14763","0","106","0","14656","1"
"4","BARAN","230676","0","15247","0","64","0","15183","0"
"5","BARMER","401130","0","21454","0","205","0","21249","0"
"6","BHARATPUR","476154","0","31450","0","272","0","31178","0"
"7","BHILWARA","504102","0","38176","0","162","0","38014","0"
"8","BIKANER","731979","0","49900","0","586","2","49311","3"
"9","BUNDI","230053","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","449411","0","29374","0","140","0","29234","0"
"11","CHURU","431018","0","20819","0","114","0","20705","0"
"12","DAUSA","287111","0","15774","0","80","0","15694","0"
"13","DHOLPUR","277634","0","13751","0","49","0","13701","1"
"14","DUNGARPUR","327121","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","421140","0","28136","0","158","0","27978","0"
"16","HANUMANGARH","486819","0","22516","0","114","0","22402","0"
"17","JAIPUR","3354353","11","274508","0","2111","4","272311","86"
"18","JAISALMER","241748","0","17036","0","68","0","16968","0"
"19","JALORE","441841","0","10545","0","78","0","10467","0"
"20","JHALAWAR","383606","0","17707","0","207","0","17500","0"
"21","JHUNJHUNU","490601","0","19158","0","181","0","18977","0"
"22","JODHPUR","1408912","1","141086","0","1164","3","139916","6"
"23","KARAULI","236137","0","8968","0","84","0","8884","0"
