"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","963079","*19951957"
"2","Total No. of patients tested Positive","5070","764104"
"3","No. of patients discharged","4001","745251"
"4","Total Deaths reported","37","17783"
"5","Sample collected on the day","","12407"
"6","Test conducted on the day","","12144"
"7","Positive cases on the day","","229"
"8","Number of active Cases","","1070"
"9","No. of Patients on oxygen support","","38"
"10","Patients at critical care Level-3 facilities","","8"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","7"
"13","Total Healthcare Workers vaccinated with 1st dose","","218727"
"14","Frontline Workers vaccinated with 1st dose on the day","","7"
"15","Total Frontline Workers vaccinated with 1st dose","","1117550"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","18"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210948"
"18","Frontline Workers vaccinated with 2nd dose on the day","","86"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015175"
"20","Above 45 Vaccinated with 1st dose on the day","","278"
"21","Total Above 45 Vaccinated with 1st dose","","8329188"
"22","Above 45 Vaccinated with 2nd dose on the day","","6727"
"23","Total Above 45 Vaccinated with 2nd dose","","7504043"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1025"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12601185"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","15109"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10349760"
"28","15-17 years age group Vaccinated with 1st dose on the day","","497"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1090646"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3056"
"31","Total 15-17 years age group Vaccinated with 2nddose","","781506"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1450"
"33","Total 12-14 years age group Vaccinated with 1st dose","","602895"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4178"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","355756"
"36","Precautionary dose given on the day","","2890"
"37","Total Precautionary dose given","","760247"
"38","Total Vaccination 1st dose on the day","","1317"
"39","Total Vaccination 2nd dose on the day","","21940"
"40","Total Vaccination 1st and 2nd dose on the day","","23257"
