"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","2","35184","0","34845","6","0","333","0"
"2","Ballari","2","97798","1","96004","108","0","1686","0"
"3","Belagavi","8","79994","1","78978","72","0","944","0"
"4","Bengaluru Rural","3","62098","1","61171","37","0","890","0"
"5","Bengaluru Urban","206","1256823","105","1235458","5024","2","16340","1"
"6","Bidar","0","24348","1","23940","2","0","402","4"
"7","Chamarajanagara","12","33084","4","32524","46","0","503","11"
"8","Chikkaballapura","0","43975","1","43537","6","0","431","1"
"9","Chikkamagaluru","5","51216","3","50781","39","0","396","0"
"10","Chitradurga","2","36733","6","36481","43","0","209","0"
"11","Dakshina 
Kannada","20","115914","17","114079","141","0","1687","7"
"12","Davanagere","3","51009","0","50386","15","0","608","0"
"13","Dharwada","7","61326","4","59704","298","0","1322","2"
"14","Gadag","0","26073","0","25749","5","0","319","0"
"15","Hassana","8","112076","2","110728","87","1","1259","2"
"16","Haveri","1","21950","0","21305","2","0","643","0"
"17","Kalaburagi","1","61954","0","61124","8","0","822","0"
"18","Kodagu","8","37269","1","36858","79","0","331","1"
"19","Kolara","6","47023","4","46359","24","0","640","0"
"20","Koppala","4","35207","0","34662","18","0","527","0"
"21","Mandya","2","73859","3","73180","25","0","654","0"
"22","Mysuru","19","179837","17","177134","281","0","2422","0"
"23","Raichuru","0","39981","0","39647","1","0","333","0"
"24","Ramanagara","0","24215","0","23888","4","0","323","0"
"25","Shivamogga","6","69563","4","68363","110","0","1090","0"
"26","Tumakuru","6","121107","6","119845","125","0","1137","0"
"27","Udupi","10","76919","3","76354","77","0","488","0"
"28","Uttara Kannada","22","56436","7","55607","56","0","773","0"
"29","Vijayapura","0","36278","0","35781","2","0","495","0"
"30","Yadagiri","0","27548","0","27340","2","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","363","2996833","191","2951845","6743","3","38216","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 02-12-2021 
 Page 5 of 7","","","","","","","","",""
