"Total No. of Sample Taken Today","7637"
"Total No. of Positive Cases Detected Today","31"
"Total Active COVID-19 Patients","189"
"Total No. of Active Cases under Home Isolation (29-09-2022)","171"
"Total No. of Samples found Positive till date","1054873"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1043956"
"No. of Deaths","10705"
"Total No. of People Vaccinated Today","5267 
(1st Dose: 510 
2nd Dose: 1401 
Precaution Dose: 3356)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23664024 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19806251 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1897208"
"Cumulative Coverage of Total COVID-19 Vaccination","45367483"
"COVID-19 Today (29-09-2022) Positivity Rate","0.41%"
"Recovery Rate","98.97%"
"Fatality Rate","1.01%"
