"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","793810","1","49925","0","447","7","49410","68"
"2","ALWAR","1624693","22","84869","0","321","9","84483","65"
"3","BANSWARA","321520","0","14775","0","106","0","14665","4"
"4","BARAN","240981","0","15311","0","64","0","15245","2"
"5","BARMER","405252","0","21457","0","205","0","21250","2"
"6","BHARATPUR","476336","0","31451","0","272","0","31179","0"
"7","BHILWARA","509365","1","38236","0","162","1","38041","33"
"8","BIKANER","754662","14","50203","1","589","25","49526","88"
"9","BUNDI","236561","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","454028","2","29422","0","140","2","29270","12"
"11","CHURU","436941","3","20922","0","115","0","20787","20"
"12","DAUSA","296138","2","15877","0","81","4","15782","14"
"13","DHOLPUR","288824","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328017","0","25499","0","134","0","25365","0"
"15","GANGANAGAR","423290","0","28171","0","158","5","28006","7"
"16","HANUMANGARH","489213","0","22526","0","114","0","22408","4"
"17","JAIPUR","3465602","56","277124","0","2113","19","274638","373"
"18","JAISALMER","242806","0","17036","0","68","0","16968","0"
"19","JALORE","447383","3","10563","0","78","0","10479","6"
"20","JHALAWAR","410685","1","17763","0","207","0","17552","4"
"21","JHUNJHUNU","493747","0","19161","0","181","0","18979","1"
"22","JODHPUR","1431090","16","141346","0","1164","21","140082","100"
"23","KARAULI","242265","0","8968","0","84","0","8884","0"
