"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1671099*","20661563*"
"2","Total No. of patients tested Positive","23641","784169"
"3","No. of patients discharged","23067","763341"
"4","Total Deaths reported","192","20497"
"5","Sample collected on the day","","5825"
"6","Test conducted on the day","","5992"
"7","Positive cases on the day","","36"
"8","Number of active Cases","","331"
"9","No. of Patients on oxygen support","","15"
"10","Patients at critical care Level-3 facilities","","1"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218875"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117916"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","5"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211907"
"18","Frontline Workers vaccinated with 2nd dose on the day","","11"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019092"
"20","Above 45 Vaccinated with 1st dose on the day","","65"
"21","Total Above 45 Vaccinated with 1st dose","","8345759"
"22","Above 45 Vaccinated with 2nd dose on the day","","308"
"23","Total Above 45 Vaccinated with 2nd dose","","7647235"
"24","18-44 years age group Vaccinated with 1st dose on the day","","279"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12657362"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","933"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10682085"
"28","15-17 years age group Vaccinated with 1st dose on the day","","133"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1113429"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","298"
"31","Total 15-17 years age group Vaccinated with 2nddose","","857791"
"32","12-14 years age group Vaccinated with 1st dose on the day","","361"
"33","Total 12-14 years age group Vaccinated with 1st dose","","672569"
"34","12-14 years age group Vaccinated with 2nddose on the day","","479"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","473020"
"36","Precautionary dose given on the day","","4927"
"37","Total Precautionary dose given","","1700041"
"38","Total Vaccination 1st dose on the day","","347"
"39","Total Vaccination 2nd dose on the day","","1257"
"40","Total Vaccination 1st and 2nd dose on the day","","1604"
