"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","328"
"2","Number of persons tested positive today in Tamil Nadu","43"
"3","Total Number of persons tested positive till date","34,54,890"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","13,682/ 
6,65,04,154@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","13,670/ 
6,53,26,969"
"6","No. of Male / Female / Transgender tested positive today","22/21/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,280/14,38,572/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","337 (69 Govt+ 
268$Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","36/ 
34,16,537"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
