"Total No. of Sample Taken Today","21079"
"Total No. of Positive Cases Detected Today  
(Omicron Cases Reported Today: 0)","239"
"Total Active COVID-19 Patients","1322"
"Total No. of Active Cases under Home Isolation (04-03-2022)","1232"
"Total No. of Samples found Positive till date 
Total Omicron Cases:830 (Active – 0, Discharged - 830)","982682"
"Total Positive COVID-19 Patients Recovered / Discharged till date","970766"
"No. of Deaths","10571"
"Total No. of People Vaccinated today","32963 
(1st Dose: 4568, 
2nd Dose: 26857 
Precaution Dose: 1538)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","22869326 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 85% for 18yrs above population)","18105173 (85%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","241815"
"Cumulative Coverage of Total COVID-19 Vaccination","41216314"
"COVID-19 Today (04-03-2022) Positivity Rate","1.14%"
"Recovery Rate","98.79%"
"Fatality Rate","1.08%"
"Tests Per Million Population","656887"
