"D
       
  *
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 12-04-2022 
From 06-04-2022 to 12-04.2022 
 
Particulars 
Today’s 
Cumulative 
2470* 
802739 
A 
Total Passengers screened at Air ports","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","86","",""
"","","2","Total Discharges","3904577","",""
"","","3","Today's Tests Conducted","8332","",""
"","","4","Total Tests Conducted","65714448","",""
"","","5","Today’s New Cases Reported(11.04.2022, 00:00 to 23:59)","48","",""
"","","6","Total Active Cases","1408","",""
"","","7","Today's Deaths Reported","0","",""
"","","8","Total Covid Deaths","40057","",""
"","","9","Total Positive Cases","3946084","",""
"","","10","Positivity Rate for the day (11.04.2022, 00:00 to 23:59)","0.57%","",""
"","","11","*Weekly Total Positivity Rate","0.54%","",""
"","","12","Case Fatality Rate (CFR) for the day (11.04.2022, 00:00 to 23:59)","0.00","",""
"","","13","*Weekly Case Fatality Rate","0.61%","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"*Date: 11-04.2022 
 
Date: 12-04-2022 
Page 1 of 6","","","","","",""
