"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1577773","20568237"
"2","Total No. of patients tested Positive","22819","783347"
"3","No. of patients discharged","21820","762094"
"4","Total Deaths reported","175","20481"
"5","Sample collected on the day","","10501"
"6","Test conducted on the day","","10534"
"7","Positive cases on the day","","81"
"8","Number of active Cases","","772"
"9","No. of Patients on oxygen support","","34"
"10","Patients at critical care Level-3 facilities","","10"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218862"
"14","Frontline Workers vaccinated with 1st dose on the day","","5"
"15","Total Frontline Workers vaccinated with 1st dose","","1117881"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","9"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211849"
"18","Frontline Workers vaccinated with 2nd dose on the day","","58"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018869"
"20","Above 45 Vaccinated with 1st dose on the day","","240"
"21","Total Above 45 Vaccinated with 1st dose","","8344464"
"22","Above 45 Vaccinated with 2nd dose on the day","","855"
"23","Total Above 45 Vaccinated with 2nd dose","","7639938"
"24","18-44 years age group Vaccinated with 1st dose on the day","","691"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12652973"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","2148"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10662533"
"28","15-17 years age group Vaccinated with 1st dose on the day","","141"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1111462"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","540"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","851561"
"32","12-14 years age group Vaccinated with 1st dose on the day","","462"
"33","Total 12-14 years age group Vaccinated with 1st dose","","665548"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","954"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","462153"
"36","Precautionary dose given on the day","","11471"
"37","Total Precautionary dose given","","1610892"
"38","Total Vaccination 1st dose on the day","","937"
"39","Total Vaccination 2nd dose on the day","","3070"
"40","Total Vaccination 1st and 2nd dose on the day","","4007"
