"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","667663","94","38084","0","410","3","37465","209"
"2","ALWAR","1330926","79","59932","0","307","0","59439","186"
"3","BANSWARA","258936","9","10017","0","104","0","9901","12"
"4","BARAN","181510","0","12000","0","61","0","11939","0"
"5","BARMER","346143","1","15590","0","186","0","15400","4"
"6","BHARATPUR","401975","36","19676","0","260","0","19346","70"
"7","BHILWARA","424938","31","29881","0","156","4","29643","82"
"8","BIKANER","623384","34","40504","0","546","2","39869","89"
"9","BUNDI","190559","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","383683","13","19833","0","139","0","19670","24"
"11","CHURU","348240","0","16724","0","108","0","16615","1"
"12","DAUSA","228909","3","13364","0","62","0","13294","8"
"13","DHOLPUR","237440","1","11018","0","48","0","10962","8"
"14","DUNGARPUR","266875","8","18420","0","131","0","18281","8"
"15","GANGANAGAR","355845","21","19419","0","151","0","19212","56"
"16","HANUMANGARH","418728","3","16086","0","111","1","15966","9"
"17","JAIPUR","2694837","1138","191519","1","1973","26","186300","3246"
"18","JAISALMER","215459","0","13651","0","66","0","13585","0"
"19","JALORE","396006","0","10068","0","72","0","9996","0"
"20","JHALAWAR","315663","4","13618","0","187","0","13427","4"
"21","JHUNJHUNU","412036","3","14838","0","160","0","14668","10"
"22","JODHPUR","1206484","230","113046","1","1104","9","111358","584"
"23","KARAULI","191669","4","7160","0","70","0","7086","4"
