"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","641704","3","37847","0","410","2","37422","15"
"2","ALWAR","1290093","2","59742","0","307","1","59413","22"
"3","BANSWARA","243197","0","10005","0","104","0","9901","0"
"4","BARAN","170247","0","12000","0","61","0","11936","3"
"5","BARMER","337428","0","15580","1","186","2","15390","4"
"6","BHARATPUR","389500","0","19604","0","260","0","19341","3"
"7","BHILWARA","407204","0","29783","0","156","0","29627","0"
"8","BIKANER","607313","3","40400","0","546","10","39835","19"
"9","BUNDI","182358","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","370504","0","19809","0","139","0","19670","0"
"11","CHURU","328723","0","16723","0","108","0","16614","1"
"12","DAUSA","217660","2","13356","0","62","0","13292","2"
"13","DHOLPUR","229962","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","257601","0","18412","0","131","2","18278","3"
"15","GANGANAGAR","344824","0","19359","0","150","0","19206","3"
"16","HANUMANGARH","395797","0","16075","0","111","0","15943","21"
"17","JAIPUR","2597662","2","188144","0","1971","9","186062","111"
"18","JAISALMER","209958","0","13646","0","66","0","13578","2"
"19","JALORE","384127","0","10068","0","72","0","9995","1"
"20","JHALAWAR","297738","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","390345","1","14821","0","158","0","14654","9"
"22","JODHPUR","1176087","3","112433","0","1103","0","111319","11"
"23","KARAULI","177298","0","7156","0","70","0","7086","0"
