"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Deaths due 
to other 
causes","Active cases"
"11","Solapur","43641","38625","1432","1","3583"
"12","Nashik","93412","86836","1539","","5037"
"13","Ahmednagar","55670","49146","849","","5675"
"14","Jalgaon","53417","49924","1344","","2149"
"15","Nandurbar","6347","5722","139","","486"
"16","Dhule","14168","13491","340","2","335"
"17","Aurangabad","41690","38339","970","","2381"
"18","Jalna","10260","9389","278","","593"
"19","Beed","13709","11697","409","","1603"
"20","Latur","20619","17911","607","","2101"
"21","Parbhani","6602","5605","236","","761"
"22","Hingoli","3618","3018","74","","526"
"23","Nanded","19104","16461","519","","2124"
"24","Osmanabad","15243","13571","495","","1177"
"25","Amaravati","16917","15699","349","","869"
"26","Akola","8521","7573","276","1","671"
"27","Washim","5717","5366","135","1","215"
"28","Buldhana","10376","8289","166","","1921"
"29","Yavatmal","10780","9830","312","","638"
"30","Nagpur","101341","93453","2722","10","5156"
"31","Wardha","6549","5787","202","1","559"
"32","Bhandara","8743","7406","191","","1146"
"33","Gondia","9750","8742","111","","897"
"34","Chandrapur","15971","11530","240","","4201"
"35","Gadchiroli","5149","4132","36","","981"
