"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","315"
"2","Number of persons tested positive today in Tamil Nadu","34"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-2"
"","Passengers returned from other states  by Road tested 
positive today","Kerala-1"
"","Total","37"
"3","Total Number of persons tested positive till date","34,54,801"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,756/ 
6,64,76,120@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,741/ 
6,52,98,960"
"6","No. of Male / Female / Transgender tested positive today","24/13/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,230/14,38,533/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","44/ 
34,16,461"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
