"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","515079","19503943"
"2","Total No. of patients tested Positive","1128","760203"
"3","No. of patients discharged","1091","742341"
"4","Total Deaths reported","5","17751"
"5","Sample collected on the day","","3637"
"6","Test conducted on the day","","6698"
"7","Positive cases on the day","","15"
"8","Number of active Cases","","111"
"9","No. of Patients on oxygen support","","3"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218606"
"14","Frontline Workers vaccinated with 1st dose on the day","","9"
"15","Total Frontline Workers vaccinated with 1st dose","","1117203"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","16"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209945"
"18","Frontline Workers vaccinated with 2nd dose on the day","","101"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011828"
"20","Above 45 Vaccinated with 1st dose on the day","","693"
"21","Total Above 45 Vaccinated with 1st dose","","8309230"
"22","Above 45 Vaccinated with 2nd dose on the day","","9609"
"23","Total Above 45 Vaccinated with 2nd dose","","7204473"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1993"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12538798"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","18796"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9748175"
"28","15-17 years age group Vaccinated with 1st dose on the day","","908"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1066143"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2998"
"31","Total 15-17 years age group Vaccinated with 2nddose","","686589"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2580"
"33","Total 12-14 years age group Vaccinated with 1st dose","","551764"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4568"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","234843"
"36","Precautionary dose given on the day","","3870"
"37","Total Precautionary dose given","","615585"
"38","Total Vaccination 1st dose on the day","","2698"
"39","Total Vaccination 2nd dose on the day","","28522"
"40","Total Vaccination 1st and 2nd dose on the day","","31220"
