"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","150","109927","144","107633","1","2280","14"
"2","SAS Nagar","291","95982","258","94791","0","1148","43"
"3","Jalandhar","104","78375","89","76789","0","1578","8"
"4","Patiala","205","62236","199","60771","0","1457","8"
"5","Amritsar","63","59458","62","57770","0","1682","6"
"6","Bathinda","42","50912","35","49813","0","1088","11"
"7","Hoshiarpur","51","40890","60","39792","0","1096","2"
"8","Gurdaspur","18","26957","18","26091","1","865","1"
"9","Pathankot","38","24571","39","24072","0","495","4"
"10","Fazilka","18","23416","31","22870","0","545","1"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","31","22066","30","21482","1","583","1"
"13","Ropar","25","17963","20","17503","0","455","5"
"14","Ferozepur","15","17914","14","17374","0","537","3"
"15","Mansa","5","17233","3","16839","1","393","1"
"16","Faridkot","23","16806","27","16468","0","338","0"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","24","13012","0","409","0"
"19","FG Sahib","8","11842","8","11488","0","354","0"
"20","Moga","5","10993","5","10736","1","255","2"
"21","Tarn Taran","4","10902","2","10507","0","394","1"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","1128","760203","1091","742341","5","17751","111"
