"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1264124*","20254587*"
"2","Total No. of patients tested Positive","14676","775237"
"3","No. of patients discharged","11599","751874"
"4","Total Deaths reported","82","20388"
"5","Sample collected on the day","","10762"
"6","Test conducted on the day","","10665"
"7","Positive cases on the day","","490"
"8","Number of active Cases","","2975"
"9","No. of Patients on oxygen support","","114"
"10","Patients at critical care Level-3 facilities","","15"
"11","Patients who are critical and on ventilator support","","4"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218803"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117717"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","10"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211539"
"18","Frontline Workers vaccinated with 2nd dose on the day","","43"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017658"
"20","Above 45 Vaccinated with 1st dose on the day","","213"
"21","Total Above 45 Vaccinated with 1st dose","","8338176"
"22","Above 45 Vaccinated with 2nd dose on the day","","2475"
"23","Total Above 45 Vaccinated with 2nd dose","","7594369"
"24","18-44 years age group Vaccinated with 1st dose on the day","","740"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12630327"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","5896"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10556621"
"28","15-17 years age group Vaccinated with 1st dose on the day","","187"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1103469"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","813"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","829473"
"32","12-14 years age group Vaccinated with 1st dose on the day","","756"
"33","Total 12-14 years age group Vaccinated with 1st dose","","644647"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","921"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","430086"
"36","Precautionary dose given on the day","","17918"
"37","Total Precautionary dose given","","1144384"
"38","Total Vaccination 1st dose on the day","","960"
"39","Total Vaccination 2nd dose on the day","","8424"
"40","Total Vaccination 1st and 2nd dose on the day","","9384"
