"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","14,284"
"2","Number of persons tested positive today in Tamil Nadu","1,802"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-1"
"","Total","1,803"
"3","Total Number of persons tested positive till date","35,37,895"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","29,117/ 
6,80,10,624@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","28,373/ 
6,68,10,426"
"6","No. of Male / Female / Transgender tested positive today","1,079/724/0"
"7","No. of Male / Female / Transgender tested positive till date","20,62,672/14,75,185/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,233/ 
34,85,579"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
