"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1046","4","0","27","76"
"2","ALWAR","1549","26","1","16","108"
"3","BANSWARA","164","1","0","0","8"
"4","BARAN","351","1","0","0","7"
"5","BARMER","120","0","0","0","4"
"6","BHARATPUR","173","1","0","3","16"
"7","BHILWARA","392","5","0","8","28"
"8","BIKANER","673","4","0","13","33"
"9","BUNDI","157","3","0","0","11"
"10","CHITTORGARH","288","7","0","5","50"
"11","CHURU","149","0","0","0","0"
"12","DAUSA","542","2","0","28","63"
"13","DHOLPUR","539","0","0","2","13"
"14","DUNGARPUR","164","7","0","1","34"
"15","GANGANAGAR","216","1","0","0","5"
"16","HANUMANGARH","293","1","1","4","5"
"17","JAIPUR","1575","43","0","35","342"
"18","JAISALMER","17","0","0","0","10"
"19","JALORE","132","0","0","1","2"
"20","JHALAWAR","308","0","0","1","10"
"21","JHUNJHUNU","722","0","0","6","5"
"22","JODHPUR","471","13","0","23","98"
"23","KARAULI","328","0","0","0","5"
"24","KOTA","980","8","0","9","50"
"25","NAGAUR","376","5","0","3","27"
"26","PALI","606","6","0","18","36"
