"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,11,863"
"2","Number of persons tested positive today in Tamil Nadu","26,533"
"3","Total Number of persons tested positive till date","32,79,284"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,45,376/ 
6,13,46,285@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,35,991/ 
6,02,97,961"
"6","No. of Male / Female / Transgender tested positive today","15,579/10,954/0"
"7","No. of Male / Female / Transgender tested positive till date","19,12,481/13,66,765/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","28,156/ 
30,29,961"
"10","Total number of deaths today/ till date","48(24 Private &  
24 Govt) /37,460"
