"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22984","","5281","","28265",""
"2","Total Active Cases","04 
(0.02%)","","00 
(0%)","","04 
(0.01%)",""
"3","Total Cured/Discharged","22812 
(99.3%)","","5221 
(98.9%)","","28033 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","00","","00","","00",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","78","","21","","99",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","75","","21","","96",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","73 
15 
08 
00 
96"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(29/05/2022)","","Test Done Today 
(30/05/2022)","","Cumulative"
"","","a)RTPCR","322493","","74","","322567"
"","","b)TRUENAT","14023","","03","","14026"
"","","c)RAT","349263","","22","","349285"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","686884","","99","","686983"
