"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","414160","19403021"
"2","Total No. of patients tested Positive","951","760028"
"3","No. of patients discharged","857","742107"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","12072"
"6","Test conducted on the day","","11877"
"7","Positive cases on the day","","33"
"8","Number of active Cases","","170"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218582"
"14","Frontline Workers vaccinated with 1st dose on the day","","11"
"15","Total Frontline Workers vaccinated with 1st dose","","1117147"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","23"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209766"
"18","Frontline Workers vaccinated with 2nd dose on the day","","78"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011004"
"20","Above 45 Vaccinated with 1st dose on the day","","1594"
"21","Total Above 45 Vaccinated with 1st dose","","8299833"
"22","Above 45 Vaccinated with 2nd dose on the day","","11765"
"23","Total Above 45 Vaccinated with 2nd dose","","7106324"
"24","18-44 years age group Vaccinated with 1st dose on the day","","4176"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12511343"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","24098"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9553480"
"28","15-17 years age group Vaccinated with 1st dose on the day","","3733"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1054493"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","8682"
"31","Total 15-17 years age group Vaccinated with 2nddose","","653804"
"32","12-14 years age group Vaccinated with 1st dose on the day","","12216"
"33","Total 12-14 years age group Vaccinated with 1st dose","","521948"
"34","12-14 years age group Vaccinated with 2nddose on the day","","12071"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","197990"
"36","Precautionary dose given on the day","","3782"
"37","Total Precautionary dose given","","584647"
"38","Total Vaccination 1st dose on the day","","5783"
"39","Total Vaccination 2nd dose on the day","","35964"
"40","Total Vaccination 1st and 2nd dose on the day","","41747"
