"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","125","109902","112","107601","1","2280","21"
"2","SAS Nagar","222","95913","159","94692","0","1148","73"
"3","Jalandhar","94","78366","75","76775","0","1578","13"
"4","Patiala","197","62229","186","60758","0","1458","13"
"5","Amritsar","49","59444","41","57749","0","1682","13"
"6","Bathinda","29","50899","33","49811","0","1088","0"
"7","Hoshiarpur","47","40885","57","39789","0","1096","0"
"8","Gurdaspur","14","26953","11","26084","1","865","4"
"9","Pathankot","32","24566","35","24068","0","495","3"
"10","Fazilka","16","23414","27","22866","0","545","3"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","27","22060","20","21472","1","583","5"
"13","Ropar","17","17955","9","17492","0","455","8"
"14","Ferozepur","11","17910","9","17369","0","537","4"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","22","16805","23","16464","0","338","3"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","22","13010","0","409","2"
"19","FG Sahib","8","11842","7","11487","0","354","1"
"20","Moga","3","10991","3","10734","1","255","2"
"21","Tarn Taran","2","10901","2","10507","0","394","0"
"22","Barnala","7","7505","12","7155","0","349","1"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","951","760028","857","742107","4","17751","170"
