,Unnamed: 0,44,Unnamed: 1,बबजनौर,Unnamed: 2,1,Unnamed: 3,5,Unnamed: 4,18257,Unnamed: 5,0,Unnamed: 6,139,Unnamed: 7,24,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,मजुफ्फरनगर,,5.0,,2.0,,38282.0,,0.0,,277.0,,24.0,,,,,
1,,46,,बादा,,6.0,,7.0,,12013.0,,0.0,,166.0,,23.0,,,,,
2,,47,,अयोध्या,,4.0,,5.0,,18638.0,,0.0,,292.0,,22.0,,,,,
3,,48,,सोनभद्र,,7.0,,12.0,,18612.0,,0.0,,257.0,,22.0,,,,,
4,,49,,अलीगढ,,2.0,,15.0,,25439.0,,0.0,,113.0,,21.0,,,,,
5,,50,,कौशाम्बी,,3.0,,8.0,,4839.0,,0.0,,72.0,,20.0,,,,,
6,,51,,मनैपरुी,,1.0,,7.0,,11442.0,,0.0,,189.0,,19.0,,,,,
7,,52,,क्रिरोजाबाद,,2.0,,5.0,,10516.0,,0.0,,136.0,,18.0,,,,,
8,,53,,सभंल,,0.0,,1.0,,11006.0,,0.0,,109.0,,18.0,,,,,
9,,54,,बदाय,,0.0,,3.0,,17892.0,,0.0,,101.0,,17.0,,,,,
10,,55,,चदंौली,,3.0,,4.0,,17506.0,,0.0,,378.0,,17.0,,,,,
11,,56,,गोंडा,,2.0,,6.0,,14084.0,,0.0,,284.0,,17.0,,,,,
12,,57,,कानपरु देहात,,1.0,,3.0,,7105.0,,0.0,,110.0,,17.0,,,,,
13,,58,,इटावा,,1.0,,6.0,,15751.0,,0.0,,296.0,,15.0,,,,,
14,,59,,मऊ,,2.0,,1.0,,8916.0,,0.0,,85.0,,15.0,,,,,
15,,60,,मरुादाबाद,,0.0,,0.0,,46053.0,,0.0,,366.0,,15.0,,,,,
16,,61,,बस्ती,,1.0,,1.0,,12761.0,,0.0,,336.0,,13.0,,,,,
17,,62,,भदोही,,0.0,,6.0,,8452.0,,0.0,,165.0,,13.0,,,,,
18,,63,,हापड़ु,,2.0,,1.0,,15171.0,,0.0,,224.0,,12.0,,,,,
19,,64,,चचत्रकट,,4.0,,4.0,,7733.0,,0.0,,79.0,,11.0,,,,,
20,,65,,हाथरस,,0.0,,1.0,,3705.0,,0.0,,43.0,,11.0,,,,,
21,,66,,लमर्ापरु,,2.0,,1.0,,11939.0,,0.0,,124.0,,10.0,,,,,
22,,67,,बललया,,2.0,,0.0,,22504.0,,0.0,,245.0,,9.0,,,,,
23,,68,,कासगजं,,3.0,,3.0,,4870.0,,0.0,,55.0,,9.0,,,,,
24,,69,,औरैय्या,,1.0,,5.0,,10768.0,,0.0,,211.0,,8.0,,,,,
25,,70,,शामली,,0.0,,2.0,,16674.0,,0.0,,48.0,,8.0,,,,,
26,,71,,गाजीपरु,,0.0,,5.0,,23856.0,,0.0,,295.0,,6.0,,,,,
27,,72,,महोबा,,3.0,,0.0,,4455.0,,0.0,,88.0,,6.0,,,,,
28,,73,,श्रावस्ती,,1.0,,0.0,,5225.0,,0.0,,41.0,,6.0,,,,,
29,,74,,बलरामपरु,,0.0,,2.0,,8101.0,,0.0,,139.0,,5.0,,,,,
30,,75,,रामपरु,,2.0,,2.0,,14598.0,,0.0,,153.0,,4.0,,,,,
31,,Total,,,,,,,471.0,,823.0,,2038979.0,,1.0,,23447.0,,4409.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23447 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
