"D
      
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 26.08.2022","","","","","",""
"","","","","","",""
"","The first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","2032","",""
"","","2","Total Discharges","3999213","",""
"","","3","Today's Tests Conducted","29104","",""
"","","4","Total Tests Conducted","68520201","",""
"","","5","Today’s New Cases Reported (25.08.2022, 00:00 to 23:59)","1191","",""
"","","6","Total Active Cases","7856","",""
"","","7","Today's Deaths Reported","3","",""
"","","8","Total Covid Deaths","40185","",""
"","","9","Total Positive Cases","4047296","",""
"","","10","Positivity Rate for the day (25.08.2022, 00:00 to 23:59)","4.09%","",""
"","","11","*Weekly Total Positivity Rate","4.84%","",""
"","","12","Case Fatality Rate (CFR) for the day (25.08.2022, 00:00 to 23:59)","0.25%","",""
"","","13","*Weekly Case Fatality Rate","0.25%","",""
"*From 20-08-2022 to 26-08-202 
Particulars 
Today’s 
Cumulative 
6823* 
1415199 
A 
Total Passengers screened at Air ports 
          *Date: 24-08-2022 & 25-08-2022 
 
Date: 26-08-2022 
Page 1 of 10","","","","","",""
