"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1067352","20056230"
"2","Total No. of patients tested Positive","7081","766086"
"3","No. of patients discharged","5554","746804"
"4","Total Deaths reported","47","17793"
"5","Sample collected on the day","","11875"
"6","Test conducted on the day","","12064"
"7","Positive cases on the day","","267"
"8","Number of active Cases","","1489"
"9","No. of Patients on oxygen support","","55"
"10","Patients at critical care Level-3 facilities","","9"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218756"
"14","Frontline Workers vaccinated with 1st dose on the day","","16"
"15","Total Frontline Workers vaccinated with 1st dose","","1117616"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","26"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211180"
"18","Frontline Workers vaccinated with 2nd dose on the day","","115"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016347"
"20","Above 45 Vaccinated with 1st dose on the day","","354"
"21","Total Above 45 Vaccinated with 1st dose","","8331925"
"22","Above 45 Vaccinated with 2nd dose on the day","","4188"
"23","Total Above 45 Vaccinated with 2nd dose","","7545028"
"24","18-44 years age group Vaccinated with 1st dose on the day","","999"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12609892"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","9497"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10440297"
"28","15-17 years age group Vaccinated with 1st dose on the day","","795"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1096128"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2474"
"31","Total 15-17 years age group Vaccinated with 2nddose","","805000"
"32","12-14 years age group Vaccinated with 1st dose on the day","","2353"
"33","Total 12-14 years age group Vaccinated with 1st dose","","620534"
"34","12-14 years age group Vaccinated with 2nddose on the day","","4844"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","394811"
"36","Precautionary dose given on the day","","19050"
"37","Total Precautionary dose given","","814092"
"38","Total Vaccination 1st dose on the day","","1370"
"39","Total Vaccination 2nd dose on the day","","13826"
"40","Total Vaccination 1st and 2nd dose on the day","","15196"
