"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23423","","5286","","28709",""
"2","Total Active Cases","105 
(0.45%)","","02 
(0.04%)","","107 
(0.37%)",""
"3","Total Cured/Discharged","23150 
(98.83%)","","5224 
(98.8%)","","28374 
(98.8%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","11","","00","","11",""
"6","Total Positive cases in Home Isolation","87","","01","","88",""
"7","COVID Care Centre","00","","01","","01",""
"8","Facility Isolation","07","","00","","07",""
"9","No. of Samples Tested (Today)","187","","73","","260",""
"10","No. of Samples Positive (Today)","16","","01","","17",""
"11","No. of Samples Negative (Today)","171","","73","","244",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","66 
35 
04 
00 
105"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(20/07/2022)","","Test Done Today 
(21/07/2022)","","Cumulative"
"","","a)RTPCR","330164","","109","","330273"
"","","b)TRUENAT","14566","","09","","14575"
"","","c)RAT","352385","","136","","352521"
"","","d)  CBNAAT","1105","","06","","1111"
"","","TOTAL","698220","","260","","698480"
