"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23864","","5334","","29198",""
"2","Total Active Cases","52 
(0.22%)","","03 
(0.06%)","","55 
(0.19%)",""
"3","Total Cured/Discharged","23642 
(99%)","","5271 
(98.8%)","","28913 
(99%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","07","","0","","07",""
"6","Total Positive cases in Home Isolation","40","","03","","43",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","05","","00","","05",""
"9","No. of Samples Tested (Today)","274","","43","","317",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","270","","43","","313",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","48 
55 
00 
00 
103"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(26/08/2022)","","Test Done Today 
(27/08/2022)","","Cumulative"
"","","a)RTPCR","36214","","77","","36291"
"","","b)TRUENAT","14922","","07","","14929"
"","","c)RAT","362049","","233","","362282"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","714410","","317","","714727"
