"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23890","","5335","","29225",""
"2","Total Active Cases","36 
(0.15%)","","01 
(0.02%)","","37 
(0.13%)",""
"3","Total Cured/Discharged","23684 
(99.1%)","","5274 
(98.9%)","","28958 
(99.1%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","28","","01","","29",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","94","","49","","143",""
"10","No. of Samples Positive (Today)","07","","00","","07",""
"11","No. of Samples Negative (Today)","86","","49","","135",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","49 
44 
00 
00 
93"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(31/08/2022)","","Test Done Today 
(01/09/2022)","","Cumulative"
"","","a)RTPCR","36735","","99","","36834"
"","","b)TRUENAT","14965","","06","","14971"
"","","c)RAT","362455","","38","","362493"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","715380","","143","","715523"
