"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"25","Amravati","106472","104731","1625","116"
"26","Akola","66717","65160","1471","86"
"27","Washim","46873","46027","641","205"
"28","Buldhana","92636","91605","837","194"
"29","Yavatmal","82367","80443","1820","104"
"30","Nagpur","581493","570802","9215","1476"
"31","Wardha","66008","64497","1408","103"
"32","Bhandara","68675","67296","1142","237"
"33","Gondia","45608","44950","587","71"
"34","Chandrapur","99311","97595","1595","121"
"35","Gadchiroli","37211","36428","728","55"
"","Other states/country","144","31","113","0"
"","Total","8034261","7871507","148062","14692"
