"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","505"
"2","Number of persons tested positive today in Tamil Nadu","40"
"3","Total Number of persons tested positive till date","34,54,019"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,456/ 
6,62,01,908@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,440/ 
6,50,25,073"
"6","No. of Male / Female / Transgender tested positive today","25/15/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,809/14,38,172/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","49/ 
34,15,489"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
