"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","11,685"
"2","Number of persons tested positive today in Tamil Nadu","1,021"
"3","Total Number of persons tested positive till date","27,01,614"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,24,055/ 
5,10,35,541@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,23,664/ 
5,01,12,592"
"6","No. of Male / Female / Transgender tested positive today","613/408/0"
"7","No. of Male / Female / Transgender tested positive till date","15,76,708/11,24,868/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","307 (69 Govt+ 
238$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,172/ 
26,53,832"
"10","Total number of deaths today/ till date","14(5 Private &  
9 Govt) /36,097)"
