"S. No","Subject","Number"
"1","Total Number of people vaccinated on 12th Feb","6,77,618"
"2","First Dose on 12th Feb","46,513"
"3","Second Dose on 12th Feb","5,78,329"
"4","Precaution Dose on 12th Feb","52,776"
"5","Cumulative Vaccination till 12th Feb","12,50,82,606"
"6","Cumulative Vaccination First Dose","6,93,76,686"
"7","Cumulative Vaccination Second Dose","5,43,53,880"
"8","Cumulative Precaution Dose","13,52,040"
"9","Number of CVC (Common Vaccination Centres)","5,621"
"10","Cumulative AEFI cases reported","6,882"
"11","Vaccine wastage","-7%"
