"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","836"
"2","Number of persons tested positive today in Tamil Nadu","105"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Madhya Pradesh-1"
"","Total","107"
"3","Total Number of persons tested positive till date","34,56,083"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,944/ 
6,66,95,013@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,921/ 
6,55,17,599"
"6","No. of Male / Female / Transgender tested positive today","56/51/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,942/14,39,103/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","70/ 
34,17,222"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
