"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18587","","3762","","22349",""
"2","Total Active Cases","221 
(1.2%)","","36 
(0.96%)","","257 
(1.1%)",""
"3","Total Cured/ Discharged","18203 
(97.9%)","","3668                                  
(97.5%)","","(97.9%)",""
"4","Total Died","163 
(0.88%)","","58 
(1.5%)","","221 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","00","","09",""
"6","Total Positive cases in Home Isolation","143","","36","","179",""
"7","COVID Care Centre","53","","0","","53",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","293","","96","","389",""
"10","No. of Samples Positive (Today)","28","","00","","28",""
"11","No. of Samples Negative (Today)","265","","96","","361",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","00 
           00 
       00 
            53 
            53"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(04/01/2022)","","Test Done Today 
(05/01/2022)","","Cumulative"
"","","a)  RTPCR","256544","","298","","256842"
"","","b)  TRUENAT","11277","","04","","11281"
"","","c)  RAT","339254","","87","","339341"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","607247","","389","","607636"
